Cliente,Patrimonio_Cliente
Cliente_ID_1,25000
Cliente_ID_2,4000000
Cliente_ID_3,10000
Cliente_ID_4,30000
Cliente_ID_5,53000
Cliente_ID_6,750000
Cliente_ID_7,1500
Cliente_ID_8,500000
Cliente_ID_9,12000
Cliente_ID_10,300000
Cliente_ID_11,70000
Cliente_ID_12,1000
Cliente_ID_13,15800
Cliente_ID_14,50000000
Cliente_ID_15,3000000
Cliente_ID_16,42000
Cliente_ID_17,100000
Cliente_ID_18,50000
Cliente_ID_19,50000
Cliente_ID_20,350000
Cliente_ID_21,100000
Cliente_ID_22,155000
Cliente_ID_23,10000
Cliente_ID_24,200000
Cliente_ID_25,780000
Cliente_ID_26,2000000
Cliente_ID_27,100000
Cliente_ID_28,200000
Cliente_ID_29,460000
Cliente_ID_30,500000
Cliente_ID_31,200000
Cliente_ID_32,800000
Cliente_ID_33,22000
Cliente_ID_34,712220
Cliente_ID_35,15000
Cliente_ID_36,1000
Cliente_ID_37,20297.74
Cliente_ID_38,10000
Cliente_ID_39,78000
Cliente_ID_40,1200000
Cliente_ID_41,33000
Cliente_ID_42,5000
Cliente_ID_43,1300
Cliente_ID_44,30000
Cliente_ID_45,1000
Cliente_ID_46,200000
Cliente_ID_47,120000
Cliente_ID_48,2000
Cliente_ID_49,5000
Cliente_ID_50,60000
Cliente_ID_51,150000
Cliente_ID_52,4000000
Cliente_ID_53,105000
Cliente_ID_54,100000
Cliente_ID_55,10000
Cliente_ID_56,8000
Cliente_ID_57,120000
Cliente_ID_58,5000
Cliente_ID_59,30000
Cliente_ID_60,400000
Cliente_ID_61,5000000
Cliente_ID_62,60000
Cliente_ID_63,10000
Cliente_ID_64,2000
Cliente_ID_65,100000
Cliente_ID_66,250000
Cliente_ID_67,256000
Cliente_ID_68,15000
Cliente_ID_69,70000
Cliente_ID_70,2600
Cliente_ID_71,85000
Cliente_ID_72,16000
Cliente_ID_73,87000
Cliente_ID_74,110000
Cliente_ID_75,5000
Cliente_ID_76,400000
Cliente_ID_77,80000
Cliente_ID_78,90000
Cliente_ID_79,1000000
Cliente_ID_80,300000
Cliente_ID_81,55000
Cliente_ID_82,2000
Cliente_ID_83,700000
Cliente_ID_84,40000
Cliente_ID_85,70000
Cliente_ID_86,100000
Cliente_ID_87,1100
Cliente_ID_88,17000
Cliente_ID_89,80000
Cliente_ID_90,60000
Cliente_ID_91,1250000
Cliente_ID_92,200000
Cliente_ID_93,900000
Cliente_ID_94,100000
Cliente_ID_95,200000
Cliente_ID_96,100000
